name,category,address,city,state,zip,phone,website,description,latitude,longitude,truckspaces,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security,interstate,exitnumber
"TA Slidell","truck-stops","1682 Gause Blvd","Slidell","LA","70458-1361","985-643-9974","","111 truck parking spaces. 10 showers. 3 service bays. 10 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","30.2864","-89.7511","111","yes","yes","yes","yes","","yes","","","","",""
"TA Mill City","truck-stops","6000 E. Frontage Road","Mill City","NV","89418","775-538-7311","","152 truck parking spaces. 10 showers. 2 service bays. 10 diesel lanes. On site: Taco Bell Express. Weigh scale on site (brand unconfirmed)","40.6932","-118.056","152","yes","yes","yes","yes","","yes","","","","",""
"TA Troutdale","truck-stops","790 N W Frontage Road","Troutdale","OR","97060","503-666-1588","","240 truck parking spaces. 12 showers. 4 service bays. 10 diesel lanes. On site: Country Pride; Popeyes, Subway. Weigh scale on site (brand unconfirmed)","45.5438","-122.3958","240","yes","yes","yes","yes","","yes","","","","",""
"TA Express Parowan","truck-stops","1130 N. 100 W.","Parowan","UT","84761","435-477-3311","","90 truck parking spaces. 6 showers. 6 service bays. 5 diesel lanes. On site: Subway, Taco Bell. Weigh scale on site (brand unconfirmed)","37.8607","-112.8291","90","yes","yes","yes","yes","","yes","","","","",""
"TA Cheyenne","truck-stops","4000 I-80 Service Road","Burns","WY","82053","307-365-6670","","140 truck parking spaces. 12 showers. 3 service bays. 9 diesel lanes. On site: Country Pride; Burger King, Taco Bell. Weigh scale on site (brand unconfirmed)","41.1602","-104.5207","140","yes","yes","yes","yes","","yes","","","","",""
"TA Ft. Bridger","truck-stops","I-80 at Bigelow Road, Exit 30","Ft. Bridger","WY","82933","307-209-2115","","165 truck parking spaces. 9 showers. 3 service bays. 10 diesel lanes. On site: Burger King, Taco Bell Express. Weigh scale on site (brand unconfirmed)","41.3144","-110.5095","165","yes","yes","yes","yes","","yes","","","","",""
"TA Grand Island","truck-stops","8033 West Holling Rd.","Alda","NE","68810-0167","308-382-5902","","82 truck parking spaces. 7 showers. 2 service bays. 6 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","40.7998","-98.496","82","yes","yes","yes","yes","","yes","","","","",""
"TA Pembroke","truck-stops","8420 Alleghany","Corfu","NY","14036-0276","585-599-4577","","132 truck parking spaces. 6 showers. 6 service bays. 8 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","43.0059","-78.4056","132","yes","yes","yes","yes","","yes","","","","",""
"TA Vero Beach","truck-stops","8909 20th Street","Vero Beach","FL","32966","772-562-1791","","162 truck parking spaces. 9 showers. 6 service bays. 8 diesel lanes. On site: Popeyes, Subway. Weigh scale on site (brand unconfirmed)","27.6381","-80.511","162","yes","yes","yes","yes","","yes","","","","",""
"TA Troy","truck-stops","819 Edwardsville Rd.","Troy","IL","62294","618-667-9931","","92 truck parking spaces. 7 showers. 5 service bays. 8 diesel lanes. On site: Baskin Robbins, Dunkin'. Weigh scale on site (brand unconfirmed)","38.7338","-89.9098","92","yes","yes","yes","yes","","yes","","","","",""
"TA Davy Crockett Travel Center","truck-stops","195 Van Hill Road","Greeneville","TN","37745","423-234-4451","","245 truck parking spaces. 10 showers. 6 service bays. 8 diesel lanes. On site: IHOP; Dunkin', Papa John's Pizza. Weigh scale on site (brand unconfirmed)","36.3254","-82.8354","245","yes","yes","yes","yes","","yes","","","","",""
"TA Binghamton","truck-stops","753 Upper Court Street","Binghamton","NY","13904","607-775-3500","","125 truck parking spaces. 6 showers. 3 service bays. 6 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","42.1013","-75.8418","125","yes","yes","yes","yes","","yes","","","","",""
"TA Dansville","truck-stops","9616 Commerce Drive","Dansville","NY","14437","585-335-6023","","102 truck parking spaces. 5 showers. 2 service bays. 8 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","42.5662","-77.7195","102","yes","yes","yes","yes","","yes","","","","",""
"TA Maybrook","truck-stops","125 Neelytown Road","Montgomery","NY","12549","845-457-3163","","160 truck parking spaces. 11 showers. 5 service bays. 10 diesel lanes. On site: Country Pride; Pizza Hut Express. Weigh scale on site (brand unconfirmed)","41.5042","-74.2207","160","yes","yes","yes","yes","","yes","","","","",""
"TA Greenland","truck-stops","108 Ocean Road","Greenland","NH","03840","603-436-3636","","72 truck parking spaces. 7 showers. 8 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","43.0431","-70.8182","72","yes","yes","yes","yes","","","","","","",""
"TA Bloomsburg","truck-stops","6 Buckhorn Road","Bloomsburg","PA","17815","570-784-9400","","190 truck parking spaces. 13 showers. 4 service bays. 11 diesel lanes. On site: Country Pride; Subway. Weigh scale on site (brand unconfirmed)","41.0143","-76.4928","190","yes","yes","yes","yes","","yes","","","","",""
"TA Greencastle","truck-stops","10835 John Wayne Drive","Greencastle","PA","17225","717-597-7762","","190 truck parking spaces. 14 showers. 4 service bays. 12 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","39.7846","-77.7126","190","yes","yes","yes","yes","","yes","","","","",""
"TA Milesburg","truck-stops","875 N. Eagle Valley Rd.","Milesburg","PA","16853","814-355-7561","","122 truck parking spaces. 4 showers. 8 diesel lanes. On site: Country Pride; Subway. Weigh scale on site (brand unconfirmed)","40.9589","-77.763","122","yes","yes","yes","yes","","yes","","","","",""
"TA Harborcreek","truck-stops","4050 Depot Road","Erie","PA","16510","814-899-1919","","266 truck parking spaces. 11 showers. 6 service bays. 10 diesel lanes. On site: IHOP; Pizza Hut Express, Subway. Truck wash: Blue Beacon Truck Wash. Weigh scale on site (brand unconfirmed)","42.1409","-79.9246","266","yes","yes","yes","yes","","yes","","","","",""
"TA Porter","truck-stops","1600 West US Hwy 20","Porter","IN","46304","219-926-8566","","212 truck parking spaces. 9 showers. 6 service bays. 12 diesel lanes. On site: Popeyes, Taco Bell & Pizza Hut Express. Weigh scale on site (brand unconfirmed)","41.6125","-87.0985","212","yes","yes","yes","yes","","yes","","","","",""
"TA Candler","truck-stops","153 Wiggins Road","Candler","NC","28715","828-665-1156","","106 truck parking spaces. 8 showers. 4 service bays. 8 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","35.5432","-82.754","106","yes","yes","yes","yes","","yes","","","","",""
"TA Prescott","truck-stops","1806 Hwy 371 West","Prescott","AR","71857","870-887-8900","","292 truck parking spaces. 11 showers. 7 service bays. 10 diesel lanes. On site: Subway, Taco Bell. Weigh scale on site (brand unconfirmed)","33.8112","-93.427","292","yes","yes","yes","yes","","yes","","","","",""
"TA Tonopah","truck-stops","1010 N. 339th Avenue","Tonopah","AZ","85354","623-386-6443","","407 truck parking spaces. 18 showers. 5 service bays. 12 diesel lanes. On site: Black Bear Diner; Subway, Taco Bell & Pizza Hut Express. Weigh scale on site (brand unconfirmed)","33.4587","-112.7823","407","yes","yes","yes","yes","","yes","","","","",""
"TA Willcox","truck-stops","1501 North Fort Grant Road","Willcox","AZ","85643","520-384-5311","","229 truck parking spaces. 10 showers. 5 service bays. 8 diesel lanes. On site: Country Pride; Popeyes, Subway. Weigh scale on site (brand unconfirmed)","32.2688","-109.8479","229","yes","yes","yes","yes","","yes","","","","",""
"TA Barstow","truck-stops","2930 Lenwood Road","Barstow","CA","92311","760-253-2922","","303 truck parking spaces. 17 showers. 7 service bays. 16 diesel lanes. On site: Black Bear Diner; Subway. Weigh scale on site (brand unconfirmed)","34.8537","-117.0888","303","yes","yes","yes","yes","","yes","","","","",""
"TA Limon","truck-stops","2200 Ninth Street","Limon","CO","80828","719-775-2811","","104 truck parking spaces. 8 showers. 5 service bays. 8 diesel lanes. On site: Country Pride; Subway. Weigh scale on site (brand unconfirmed)","39.271","-103.7067","104","yes","yes","yes","yes","","yes","","","","",""
"TA Moriarty","truck-stops","1700 U.S. Route 66 West","Moriarty","NM","87035","505-832-4421","","245 truck parking spaces. 10 showers. 4 service bays. 10 diesel lanes. On site: Country Pride; Burger King, Pizza Hut Express. Weigh scale on site (brand unconfirmed)","35.0095","-106.065","245","yes","yes","yes","yes","","yes","","","","",""
"TA Big Spring","truck-stops","704 West Interstate 20","Big Spring","TX","79720","432-264-4444","","108 truck parking spaces. 9 showers. 5 service bays. 6 diesel lanes. On site: IHOP; Popeyes, Subway. Weigh scale on site (brand unconfirmed)","32.2648","-101.49","108","yes","yes","yes","yes","","yes","","","","",""
"TA Ganado","truck-stops","802 E. York, Hwy 59","Ganado","TX","77962","361-541-5575","","104 truck parking spaces. 9 showers. 5 service bays. 8 diesel lanes. On site: Burger King, Subway. Weigh scale on site (brand unconfirmed)","29.0496","-96.5034","104","yes","yes","yes","yes","","yes","","","","",""
"TA New Braunfels","truck-stops","4817 I-35 North","New Braunfels","TX","78130","830-608-9395","","220 truck parking spaces. 13 showers. 6 service bays. 10 diesel lanes. On site: Black Bear Diner; Popeyes, Subway. Weigh scale on site (brand unconfirmed)","29.7489","-98.0579","220","yes","yes","yes","yes","","yes","","","","",""
"TA Terrell","truck-stops","1700 Wilson Road","Terrell","TX","75161","972-563-6939","","300 truck parking spaces. 12 showers. 5 service bays. 12 diesel lanes. On site: Pizza Hut Express, Subway. Weigh scale on site (brand unconfirmed)","32.6908","-96.2441","300","yes","yes","yes","yes","","yes","","","","",""
"TA Rawlins","truck-stops","1400 Higley Blvd., Exit 214","Rawlins","WY","82301","307-324-8722","","188 truck parking spaces. 12 showers. 4 service bays. 12 diesel lanes. On site: Country Pride; Subway. Weigh scale on site (brand unconfirmed)","41.7762","-107.2243","188","yes","yes","yes","yes","","yes","","","","",""
"TA Edinburg","truck-stops","8301 N.Hwy. 281","Edinburg","TX","78541-7060","956-383-0788","","105 truck parking spaces. 5 showers. 2 service bays. 5 diesel lanes. On site: Tule Tree Legendary Burritos. Weigh scale on site (brand unconfirmed)","26.3845","-98.1435","105","yes","yes","yes","yes","","yes","","","","",""
"TA Morris","truck-stops","21 Romines Drive","Morris","IL","60450","815-942-5690","","292 truck parking spaces. 6 showers. 4 service bays. 8 diesel lanes. On site: Black Bear Diner; Charleys Philly Steaks. Weigh scale on site (brand unconfirmed)","41.3917","-88.4203","292","yes","yes","yes","yes","","yes","","","","",""
"TA Greenwood","truck-stops","8560 Greenwood Rd","Greenwood","LA","71033","318-938-5411","","177 truck parking spaces. 10 showers. 4 service bays. 9 diesel lanes. On site: KFC, Subway. Weigh scale on site (brand unconfirmed)","32.4461","-93.9493","177","yes","yes","yes","yes","","yes","","","","",""
"Petro Columbia","truck-stops","2154 S. Beltline Blvd.","Columbia","SC","29201","803-908-4889","","134 truck parking spaces. 10 showers. 6 service bays. 8 diesel lanes. On site: Quaker Steak & Lube; Starbucks. Weigh scale on site (brand unconfirmed)","33.9533","-80.9896","134","yes","yes","yes","yes","","yes","","","","",""
"TA Wheeler Ridge","truck-stops","5552 South Wheeler Ridge Road","Arvin","CA","93203","661-858-2804","","306 truck parking spaces. 10 showers. 4 service bays. 8 diesel lanes. On site: Black Bear Diner; Burger King, Pizza Hut Express, Popeyes, Subway, Taco Bell. Truck wash: Blue Beacon Truck Wash. Weigh scale on site (brand unconfirmed)","34.992","-118.9412","306","yes","yes","yes","yes","","yes","","","","",""
"TA DeMotte","truck-stops","11166 West State Road 10","DeMotte","IN","46310","219-507-7013","","133 truck parking spaces. 6 showers. 4 service bays. 7 diesel lanes. On site: Burger King. Weigh scale on site (brand unconfirmed)","41.1456","-87.2597","133","yes","yes","yes","yes","","yes","","","","",""
"TA Battle Creek","truck-stops","15874 Eleven Mile Rd.","Battle Creek","MI","49014","269-965-7721","","157 truck parking spaces. 6 showers. 5 service bays. 9 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","42.3029","-85.0811","157","yes","yes","yes","","","yes","","","","",""
"TA Holbrook","truck-stops","3747 Express Drive","Holbrook","AZ","86025","928-524-3006","","75 truck parking spaces. 9 showers. 4 service bays. 8 diesel lanes. On site: Popeyes. Weigh scale on site (brand unconfirmed)","34.9054","-110.2108","75","yes","yes","yes","yes","","yes","","","","",""
"TA Baldwin","truck-stops","1024 US 301 South","Baldwin","FL","32234","904-266-4281","","90 truck parking spaces. 6 showers. 2 service bays. 6 diesel lanes. On site: Arby's. Weigh scale on site (brand unconfirmed)","30.2855","-81.9841","90","yes","yes","yes","yes","","yes","","","","",""
"TA Jacksonville South","truck-stops","1650 C.R. 210 West","Jacksonville","FL","32259-2011","904-829-3946","","87 truck parking spaces. 6 showers. 3 service bays. 7 diesel lanes. On site: Popeyes, Subway. Weigh scale on site (brand unconfirmed)","30.0661","-81.4961","87","yes","yes","yes","yes","","yes","","","","",""
"TA Mocksville","truck-stops","1670 US Hwy 601 N","Mocksville","NC","27028","336-751-3815","","130 truck parking spaces. 7 showers. 3 service bays. 8 diesel lanes. On site: Popeyes. Weigh scale on site (brand unconfirmed)","35.925","-80.5917","130","yes","yes","yes","yes","","yes","","","","",""
"TA Beto Junction","truck-stops","2775 Highway 75","Lebo","KS","66856","620-256-6311","","226 truck parking spaces. 8 showers. 3 service bays. 7 diesel lanes. On site: Country Pride; Wendy's. Weigh scale on site (brand unconfirmed)","38.4276","-95.7272","226","yes","yes","yes","yes","","yes","","","","",""
"TA West Greenwich","truck-stops","849 Victory Hwy West","West Greenwich","RI","02817","401-397-7774","","180 truck parking spaces. 6 showers. 3 service bays. 6 diesel lanes. On site: Popeyes. Weigh scale on site (brand unconfirmed)","41.6081","-71.6638","180","yes","yes","yes","yes","","yes","","","","",""
"TA Brooklyn","truck-stops","4124 V18 Rd.","Brooklyn","IA","52211","641-631-0047","","70 truck parking spaces. 5 showers. 4 service bays. 7 diesel lanes. On site: Country Pride; Hunt Brothers Pizza. Weigh scale on site (brand unconfirmed)","41.6978","-92.4459","70","yes","yes","yes","yes","","yes","","","","",""
"TA Clayton","truck-stops","10346 S. State Road 39","Clayton","IN","46118-9184","317-539-6515","","100 truck parking spaces. 6 showers. 2 service bays. 8 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","39.6113","-86.4807","100","yes","yes","yes","yes","","yes","","","","",""
"TA Express Alexander","truck-stops","14256 US-85","Alexander","ND","58831","701-707-1770","","55 truck parking spaces. 6 showers. 6 diesel lanes. On site: Champs Chicken. Weigh scale on site (brand unconfirmed)","47.8053","-103.6452","55","yes","yes","yes","yes","","","","","","",""
"TA Laurel","truck-stops","11360 South Frontage Road","Laurel","MT","59044","406-628-4324","","80 truck parking spaces. 4 showers. 5 diesel lanes. On site: TA Cafe. Weigh scale on site (brand unconfirmed)","45.6823","-108.7038","80","yes","yes","yes","yes","","","","","","",""
"TA Denton","truck-stops","6420 North I-35","Denton","TX","76207","940-383-1458","","138 truck parking spaces. 7 showers. 6 service bays. 8 diesel lanes. On site: Burger King, Pizza Hut. Weigh scale on site (brand unconfirmed)","33.2622","-97.1767","138","yes","yes","yes","yes","","yes","","","","",""
"TA Atlanta South","truck-stops","122 Truckstop Way","Jackson","GA","30233-0967","770-775-2076","","108 truck parking spaces. 8 showers. 4 service bays. 8 diesel lanes. On site: IHOP; Subway. Weigh scale on site (brand unconfirmed)","33.2065","-84.0585","108","yes","yes","yes","yes","","yes","","","","",""
"TA Bernardo","truck-stops","6701 US Hwy 90","Sealy","TX","77474","979-732-2986","","43 truck parking spaces. 5 showers. 8 diesel lanes. On site: Carl's Jr., Dunkin'. Weigh scale on site (brand unconfirmed)","29.7427","-96.3301","43","yes","yes","yes","yes","","","","","","",""
"TA Express Steele","truck-stops","620 Mitchell Avenue North","Steele","ND","58482","701-475-2274","","70 truck parking spaces. 6 showers. 1 service bays. 7 diesel lanes. On site: Caribou Coffee, Cinnabon, Pizza Hut Express, Subway","46.8618","-99.9157","70","yes","yes","yes","yes","","yes","","","","",""
"TA Express Hot Springs","truck-stops","27638 US 385","Hot Springs","SD","57747","605-745-4215","","75 truck parking spaces. 2 showers. 4 diesel lanes. On site: Cinnabon, Pizza Hut, Subway. Weigh scale on site (brand unconfirmed)","43.3986","-103.3958","75","yes","yes","yes","yes","","","","","","",""
"TA Express Summit","truck-stops","45789 US Hwy 12","Summit","SD","57266","605-398-6493","","70 truck parking spaces. 4 showers. 4 service bays. 8 diesel lanes. On site: Caribou Coffee, Cinnabon, Pizza Hut Express, Subway. Weigh scale on site (brand unconfirmed)","45.3112","-97.04626","70","yes","yes","yes","yes","","yes","","","","",""
"TA Express Vermillion","truck-stops","47051 SD Hwy 50","Burbank","SD","57010","605-624-2062","","105 truck parking spaces. 5 showers. 8 diesel lanes. On site: Caribou Coffee, Cinnabon, Pizza Hut Express, Subway. Weigh scale on site (brand unconfirmed)","42.785","-96.797","105","yes","yes","yes","yes","","","","","","",""
"TA Huntington","truck-stops","5945 US Hwy 30","Huntington","OR","97907","541-869-2301","","140 truck parking spaces. 6 showers. 8 diesel lanes. On site: Miss J's","44.29342","-117.22491","140","yes","yes","yes","yes","","","","","","",""
"TA Express Baytown South","truck-stops","5490 N Hwy 146","Baytown","TX","77523","409-277-3841","","29 truck parking spaces. 3 showers. 4 diesel lanes. On site: Miss J's, Schlotzsky’s. Weigh scale on site (brand unconfirmed)","29.77736","-94.91346","29","yes","yes","yes","yes","","","","","","",""
"TA Express Biggs Junction","truck-stops","91464 Biggs-Rufus Hwy","Wasco","OR","97065","541-739-2106","","35 truck parking spaces. 7 showers. 8 diesel lanes. On site: Krispy Krunchy Chicken, Pizza Hut, Taco Bell","45.66881","-120.83487","35","yes","yes","yes","yes","","","","","","",""
"TA Express Kilgore","truck-stops","4403 TX - 42","Kilgore","TX","75662","430-253-2656","","63 truck parking spaces. 7 showers. 6 diesel lanes. On site: Baskin Robbins, Dunkin', Miss J’s Café, Wendy's","32.428842","-94.864307","63","yes","yes","yes","yes","","","","","","",""
"TA Express Almeda","truck-stops","12602 South Freeway","Almeda","TX","77047","713-788-8639","","50 truck parking spaces. 3 showers. 4 diesel lanes. On site: Miss J’s Café, Subway. Weigh scale on site (brand unconfirmed)","29.6141","-95.38816","50","yes","yes","yes","","","","","","","",""
"TA Express West Point","truck-stops","3000 Kia Blvd","West Point","GA","31833","706-984-9499","","26 truck parking spaces. 4 showers. 6 diesel lanes. On site: Miss J’s Café, Starbucks. Weigh scale on site (brand unconfirmed)","32.93035","-85.11613","26","yes","yes","yes","","","","","","","",""
"TA Express Edgerton","truck-stops","32501 W 200th Street","Edgerton","KS","66021","913-882-3362","","90 truck parking spaces. 4 showers. 6 diesel lanes. On site: IHOP; Goodcents, Miss J’s Café","38.76281","-94.96248","90","yes","yes","yes","yes","","","","","","",""
"TA Express Mount Vernon","truck-stops","300 SE Access Rd","Mount Vernon","TX","75457","903-537-9200","","110 truck parking spaces. 6 showers. 4 service bays. 9 diesel lanes. On site: Taco Casa; Cotton Belt Bbq, Duke's Bakery, Pickadilly Circus Pizza, The Original Fried Pie Shop","33.14914","-95.20939","110","yes","yes","yes","yes","","yes","","","","",""
"TA Lake City","truck-stops","14197 South US HWY 441","Lake City","FL","32024","386-202-6500","","250 truck parking spaces. 14 showers. 5 service bays. 9 diesel lanes. On site: Roadhouse Chicken Co.; Sbarro. Weigh scale on site (brand unconfirmed)","29.99558","-82.59672","250","yes","yes","yes","yes","","yes","","","","",""
"TA Express Nacogdoches","truck-stops","2615 NW Stallings Drive","Nacogdoches","TX","75964","936-234-7998","","95 truck parking spaces. 5 showers. 5 diesel lanes. On site: Denny's; Miss J’s Café","31.65211","-94.67876","95","yes","yes","yes","yes","","","","","","",""
"TA Express Fairfield","truck-stops","1015 West Commerce St","Fairfield","TX","75840","903-915-8296","","102 truck parking spaces. 9 showers. 8 diesel lanes. On site: Miss J's, The Original Fried Pie Shop, Whataburger. Weigh scale on site (brand unconfirmed)","31.72559","-96.17767","102","yes","yes","yes","yes","","","","","","",""
"TA Express White Hills","truck-stops","19210 US Hwy 93","White Hills","AZ","86445","928-285-2431","","67 truck parking spaces. 7 showers. 7 diesel lanes. On site: Carl's Jr., Del Taco, Einstein Bagels, Sbarro. Weigh scale on site (brand unconfirmed)","35.684","-114.4672","67","yes","yes","yes","yes","","","","","","",""
"TA Express Carthage","truck-stops","1086 US 59 South","Carthage","TX","75633","903-690-0272","","76 truck parking spaces. 4 showers. 5 diesel lanes. On site: Denny's","32.12982","-94.3326","76","yes","yes","yes","yes","","","","","","",""
"Petro El Paso","truck-stops","1295 Horizon Blvd.","El Paso","TX","79927","915-790-4529","","290 truck parking spaces. 15 showers. 6 service bays. 12 diesel lanes. On site: Black Bear Diner. Truck wash: Blue Beacon Truck Wash. Weigh scale on site (brand unconfirmed)","31.6609","-106.2424","290","yes","yes","yes","yes","","yes","","","","",""
"Petro Weatherford","truck-stops","2001 Santa Fe Dr","Weatherford","TX","76086","817-599-9411","","275 truck parking spaces. 16 showers. 5 service bays. 12 diesel lanes. On site: Iron Skillet; Popeyes. Weigh scale on site (brand unconfirmed)","32.7389","-97.7654","275","yes","yes","yes","yes","","yes","","","","",""
"Petro Laramie","truck-stops","1855 West Curtis","Laramie","WY","82070","307-745-6480","","236 truck parking spaces. 14 showers. 5 service bays. 12 diesel lanes. On site: Iron Skillet. Truck wash: Blue Beacon Truck Wash. Weigh scale on site (brand unconfirmed)","41.3287","-105.6194","236","yes","yes","yes","yes","","yes","","","","",""
"Petro Beaumont","truck-stops","5405 Walden Rd","Beaumont","TX","77705","409-842-9600","","275 truck parking spaces. 13 showers. 6 service bays. 12 diesel lanes. On site: Black Bear Diner. Truck wash: Blue Beacon Truck Wash. Weigh scale on site (brand unconfirmed)","30.037","-94.1561","275","yes","yes","yes","yes","","yes","","","","",""
"Petro San Antonio","truck-stops","1112 Ackerman Road","San Antonio","TX","78219","210-661-9416","","250 truck parking spaces. 13 showers. 7 service bays. 12 diesel lanes. On site: Black Bear Diner. Truck wash: Blue Beacon Truck Wash. Weigh scale on site (brand unconfirmed)","29.4376","-98.3799","250","yes","yes","yes","yes","","yes","","","","",""
"Petro Eloy","truck-stops","5235 N. Sunland Gin Rd.","Casa Grande","AZ","85131","520-836-3983","","175 truck parking spaces. 10 showers. 4 service bays. 11 diesel lanes. On site: Black Bear Diner. Truck wash: Blue Beacon Truck Wash. Weigh scale on site (brand unconfirmed)","32.8124","-111.6702","175","yes","yes","yes","yes","","yes","","","","",""
"Petro Amarillo","truck-stops","8500 E I-40 @ Lakeside Drive","Amarillo","TX","79118","806-372-4899","","280 truck parking spaces. 22 showers. 5 service bays. 12 diesel lanes. On site: Iron Skillet. Weigh scale on site (brand unconfirmed)","35.1917","-101.7437","280","yes","yes","yes","yes","","yes","","","","",""
"Petro Shreveport","truck-stops","6910 W Bert Kouns Industrial Loop","Shreveport","LA","71129","318-686-6111","","218 truck parking spaces. 15 showers. 5 service bays. 12 diesel lanes. On site: Iron Skillet. Weigh scale on site (brand unconfirmed)","32.4446","-93.901","218","yes","yes","yes","yes","","yes","","","","",""
"Petro Corning","truck-stops","2151 South Avenue","Corning","CA","96021","530-824-4685","","120 truck parking spaces. 14 showers. 6 service bays. 12 diesel lanes. On site: Iron Skillet. Weigh scale on site (brand unconfirmed)","39.9059","-122.1967","120","yes","yes","yes","yes","","yes","","","","",""
"Petro Hammond","truck-stops","2100 S.W. Railroad Ave.","Hammond","LA","70403","985-542-4981","","200 truck parking spaces. 12 showers. 4 service bays. 12 diesel lanes. On site: Iron Skillet. Truck wash: Blue Beacon Truck Wash. Weigh scale on site (brand unconfirmed)","30.477","-90.4579","200","yes","yes","yes","yes","","yes","","","","",""
"Petro W. Memphis","truck-stops","3900 Petro Road","West Memphis","AR","72301","870-702-5540","","280 truck parking spaces. 17 showers. 6 service bays. 12 diesel lanes. On site: IHOP. Weigh scale on site (brand unconfirmed)","35.1544","-90.136","280","yes","yes","yes","yes","","yes","","","","",""
"Petro Milan","truck-stops","1430 Motel Drive","Milan","NM","87021","505-285-6648","","200 truck parking spaces. 13 showers. 3 service bays. 12 diesel lanes. On site: Iron Skillet. Weigh scale on site (brand unconfirmed)","35.181","-107.9038","200","yes","yes","yes","yes","","yes","","","","",""
"Petro Bordentown","truck-stops","402 Rising Sun Square Road","Bordentown","NJ","08505","609-298-6070","","490 truck parking spaces. 20 showers. 6 service bays. 12 diesel lanes. On site: Iron Skillet; Arby's. Truck wash: Blue Beacon Truck Wash. Weigh scale on site (brand unconfirmed)","40.1234","-74.7131","490","yes","yes","yes","yes","","yes","","","","",""
"Petro Kingman","truck-stops","970 South Blake Ranch Road","Kingman","AZ","86401","928-681-5246","","280 truck parking spaces. 17 showers. 5 service bays. 12 diesel lanes. On site: Iron Skillet; Dunkin'. Weigh scale on site (brand unconfirmed)","35.1779","-113.7887","280","yes","yes","yes","yes","","yes","","","","",""
"Petro Oklahoma City","truck-stops","20 Martin Luther King Blvd","Oklahoma City","OK","73117","405-228-7040","","280 truck parking spaces. 14 showers. 5 service bays. 12 diesel lanes. On site: Iron Skillet. Weigh scale on site (brand unconfirmed)","35.4662","-97.4755","280","yes","yes","yes","yes","","yes","","","","",""
"Petro Perrysburg","truck-stops","26416 Baker Rd.","Perrysburg","OH","43551","419-443-1800","","375 truck parking spaces. 14 showers. 4 service bays. 12 diesel lanes. On site: Fork and Compass. Truck wash: Blue Beacon Truck Wash. Weigh scale on site (brand unconfirmed)","41.5355","-83.4664","375","yes","yes","yes","yes","","yes","","","","",""
"Petro Kingdom City","truck-stops","3304 Gold Road","Kingdom City","MO","65262","573-642-0676","","235 truck parking spaces. 15 showers. 5 service bays. 12 diesel lanes. On site: Iron Skillet. Weigh scale on site (brand unconfirmed)","38.9405","-91.9399","235","yes","yes","yes","yes","","yes","","","","",""
"Petro Bucksville","truck-stops","22526 Highway 216","McCalla","AL","35111","205-477-9178","","255 truck parking spaces. 14 showers. 5 service bays. 12 diesel lanes. On site: Iron Skillet; Popeyes. Weigh scale on site (brand unconfirmed)","33.2796","-87.0919","255","yes","yes","yes","yes","","yes","","","","",""
"Petro Girard","truck-stops","1 Petro Place","Girard","OH","44420","330-505-3700","","323 truck parking spaces. 14 showers. 5 service bays. 14 diesel lanes. On site: Iron Skillet. Weigh scale on site (brand unconfirmed)","41.1408","-80.7172","323","yes","yes","yes","yes","","yes","","","","",""
"Petro Effingham","truck-stops","1805 West Fayette Ave","Effingham","IL","62401","217-347-0480","","212 truck parking spaces. 19 showers. 5 service bays. 14 diesel lanes. On site: IHOP. Weigh scale on site (brand unconfirmed)","39.1197","-88.5723","212","yes","yes","yes","yes","","yes","","","","",""
"Petro Atlanta","truck-stops","3181 Donald Lee Hollowell Pkwy.","Atlanta","GA","30318","404-794-7772","","411 truck parking spaces. 14 showers. 6 service bays. 16 diesel lanes. On site: Iron Skillet; Burger King. Weigh scale on site (brand unconfirmed)","33.7865","-84.4905","411","yes","yes","yes","yes","","yes","","","","",""
"Petro Ocala","truck-stops","7401 West Hwy 318","Reddick","FL","32686","352-591-1881","","270 truck parking spaces. 14 showers. 5 service bays. 12 diesel lanes. On site: Iron Skillet; Wendy's. Weigh scale on site (brand unconfirmed)","29.409","-82.2462","270","yes","yes","yes","yes","","yes","","","","",""
"Petro Phoenix","truck-stops","3730 Fern Valley Rd.","Phoenix","OR","97535","541-535-3372","","87 truck parking spaces. 6 showers. 4 service bays. 8 diesel lanes. On site: Iron Skillet. Weigh scale on site (brand unconfirmed)","42.2795","-122.8116","87","yes","yes","yes","yes","","yes","","","","",""
"Petro North Baltimore","truck-stops","12906 Deshler Rd.","North Baltimore","OH","45872","419-257-3744","","250 truck parking spaces. 10 showers. 5 service bays. 14 diesel lanes. On site: IHOP; Taco Bell & Pizza Hut Express. Weigh scale on site (brand unconfirmed)","41.1738","-83.6475","250","yes","yes","yes","yes","","yes","","","","",""
